Hour,DayOfWeek,IsHoliday,WeatherCondition,IntersectionID,VehicleCount
6.0,Sunday,No,Snowy,A,10
11.0,Tuesday,No,Snowy,A,200
13.0,Wednesday,No,Rainy,A,300
0.0,Sunday,No,Snowy,A,10
8.0,Wednesday,No,Rainy,A,174
15.0,Monday,Yes,Foggy,D,154
21.0,Monday,Yes,Clear,C,34
2.0,Monday,No,Snowy,B,10
6.0,Tuesday,No,Foggy,A,23
11.0,Monday,No,Rainy,B,278
22.0,,Yes,Clear,B,17
12.0,Saturday,Yes,Rainy,,164
12.0,Wednesday,Yes,Rainy,C,176
20.0,Monday,Yes,Snowy,D,10
10.0,Sunday,Yes,Clear,C,173
0.0,Saturday,No,,B,66
10.0,Monday,Yes,Snowy,C,25
23.0,Tuesday,No,Rainy,C,75
12.0,Friday,Yes,Rainy,D,156
22.0,Monday,No,Rainy,C,57
18.0,Saturday,No,Snowy,B,124
8.0,Thursday,No,Rainy,C,172
6.0,Thursday,Yes,Foggy,D,10
11.0,Saturday,Yes,Foggy,D,141
22.0,Thursday,No,Clear,B,83
11.0,Saturday,,Snowy,D,220
4.0,Friday,Yes,Snowy,D,10
10.0,Thursday,Yes,Rainy,C,113
13.0,Wednesday,No,Snowy,C,214
15.0,Tuesday,No,Rainy,B,313
8.0,Thursday,No,Foggy,D,119
3.0,Sunday,No,Foggy,B,10
8.0,Saturday,Yes,Rainy,A,42
15.0,,Yes,Clear,,228
14.0,Saturday,No,Clear,A,343
14.0,Saturday,Yes,Clear,C,229
1.0,Friday,No,Foggy,D,10
6.0,Sunday,Yes,Snowy,C,10
19.0,Saturday,No,Snowy,D,92
18.0,Monday,No,Snowy,A,170
10.0,Saturday,Yes,Clear,D,158
15.0,Tuesday,No,Snowy,A,221
1.0,Friday,Yes,Foggy,A,10
0.0,Saturday,Yes,Clear,C,10
23.0,Saturday,No,Rainy,A,43
19.0,Saturday,,,D,223
12.0,Saturday,No,Foggy,D,254
2.0,Monday,Yes,Rainy,B,10
4.0,Thursday,Yes,Snowy,,10
5.0,Saturday,No,Snowy,B,10
12.0,Monday,No,Snowy,C,230
12.0,Friday,No,Clear,D,339
17.0,Saturday,No,Foggy,,231
9.0,Thursday,Yes,Foggy,D,58
9.0,Thursday,No,Rainy,C,232
2.0,Tuesday,Yes,Clear,D,10
6.0,Monday,No,Rainy,A,48
10.0,Friday,Yes,Foggy,A,49
17.0,Tuesday,Yes,Snowy,A,54
19.0,Sunday,Yes,Rainy,B,79
5.0,Saturday,No,Clear,C,104
4.0,Tuesday,No,Clear,D,56
16.0,Wednesday,No,Rainy,D,294
4.0,Thursday,No,Foggy,D,10
0.0,Friday,Yes,Snowy,B,10
12.0,Saturday,Yes,Clear,C,182
21.0,Sunday,No,Clear,B,143
14.0,Friday,No,Snowy,C,203
17.0,Saturday,Yes,Foggy,C,87
20.0,Monday,No,Foggy,A,141
11.0,Friday,Yes,Clear,A,167
7.0,Friday,Yes,Foggy,B,14
16.0,Monday,Yes,Foggy,B,140
13.0,Monday,Yes,Snowy,D,109
16.0,Sunday,No,Snowy,D,193
13.0,Tuesday,No,Rainy,A,319
14.0,Saturday,No,Clear,D,338
11.0,Monday,Yes,Foggy,,109
4.0,Friday,No,Rainy,,81
17.0,Sunday,No,Snowy,D,184
23.0,Tuesday,No,Snowy,C,10
19.0,Thursday,No,Clear,D,225
20.0,Tuesday,No,Clear,A,199
19.0,Sunday,Yes,Clear,B,154
8.0,Tuesday,No,Foggy,A,107
0.0,Tuesday,No,Clear,A,106
9.0,Wednesday,Yes,Snowy,A,13
10.0,Saturday,No,Rainy,C,224
3.0,Tuesday,Yes,Snowy,C,10
14.0,Monday,No,Clear,A,369
17.0,Tuesday,No,Rainy,B,279
5.0,Friday,No,Snowy,C,10
,Thursday,No,Snowy,B,195
16.0,Tuesday,Yes,Snowy,B,85
8.0,Tuesday,No,Foggy,D,119
21.0,Wednesday,,Rainy,A,134
0.0,Saturday,No,Clear,A,74
21.0,Monday,No,Foggy,A,54
11.0,,Yes,Foggy,C,114
7.0,Thursday,Yes,,D,53
8.0,Thursday,Yes,Rainy,B,51
4.0,Friday,No,Clear,C,92
,Thursday,Yes,Foggy,D,147
21.0,Thursday,Yes,Rainy,D,10
,Tuesday,Yes,Rainy,D,169
7.0,Wednesday,,Snowy,C,10
7.0,Tuesday,Yes,Rainy,D,10
20.0,Monday,Yes,Snowy,A,10
1.0,Thursday,No,Clear,C,61
12.0,Sunday,Yes,Snowy,A,64
21.0,Thursday,Yes,Clear,A,20
6.0,Tuesday,No,Snowy,D,26
4.0,Monday,No,Foggy,B,10
9.0,Wednesday,Yes,Rainy,A,92
6.0,Saturday,Yes,Snowy,D,10
10.0,Friday,No,Rainy,A,236
0.0,Saturday,Yes,Foggy,D,10
5.0,Monday,Yes,Clear,D,10
18.0,Wednesday,Yes,Foggy,C,77
10.0,Tuesday,Yes,Foggy,A,66
4.0,Sunday,No,Foggy,C,10
21.0,Friday,No,Clear,B,155
6.0,Saturday,No,Rainy,B,89
9.0,Wednesday,No,Snowy,A,109
21.0,Tuesday,No,Snowy,C,66
15.0,Thursday,No,Clear,B,327
7.0,Wednesday,No,Foggy,A,77
2.0,Friday,Yes,Foggy,D,10
11.0,Wednesday,Yes,Rainy,A,175
2.0,Friday,Yes,Rainy,A,10
17.0,Tuesday,No,Foggy,B,247
22.0,,No,Foggy,D,15
18.0,Monday,Yes,Rainy,B,120
16.0,Friday,No,Clear,B,348
22.0,Thursday,Yes,Rainy,A,10
21.0,Wednesday,No,Snowy,C,62
0.0,Monday,Yes,Foggy,D,10
6.0,Monday,Yes,Foggy,D,10
9.0,Monday,Yes,,B,165
12.0,Tuesday,Yes,Foggy,B,123
13.0,Monday,No,Clear,B,336
6.0,Sunday,No,Foggy,D,74
0.0,Thursday,No,Rainy,D,62
18.0,Monday,No,Foggy,B,185
5.0,Saturday,No,Rainy,A,46
1.0,Sunday,No,Clear,B,49
13.0,Friday,No,Clear,C,318
5.0,Friday,Yes,Snowy,D,10
12.0,Wednesday,Yes,Snowy,A,70
21.0,Thursday,No,Rainy,A,106
3.0,Thursday,Yes,Rainy,B,10
1.0,Friday,Yes,Clear,C,10
,Sunday,Yes,Foggy,B,161
,Monday,Yes,Clear,A,190
21.0,Tuesday,Yes,Foggy,B,10
17.0,Thursday,Yes,Foggy,D,102
0.0,Thursday,No,Foggy,B,10
19.0,Monday,Yes,Clear,D,132
22.0,Tuesday,No,Snowy,A,10
18.0,Friday,Yes,Clear,A,163
23.0,Tuesday,Yes,Snowy,B,10
20.0,Saturday,No,Foggy,C,130
1.0,Thursday,No,Rainy,C,21
6.0,Saturday,Yes,Snowy,B,10
0.0,Thursday,Yes,Rainy,B,10
18.0,Sunday,Yes,Snowy,C,24
6.0,Tuesday,No,Snowy,B,10
15.0,Wednesday,Yes,Snowy,D,94
,Thursday,Yes,Foggy,B,117
5.0,Thursday,No,Snowy,B,10
6.0,,No,Snowy,C,33
9.0,Friday,Yes,Clear,B,107
13.0,Sunday,No,Snowy,C,208
20.0,Thursday,Yes,Foggy,A,10
20.0,Friday,Yes,,A,69
12.0,Friday,Yes,Rainy,B,183
8.0,Friday,No,Snowy,A,84
18.0,Wednesday,No,Snowy,A,125
,Monday,No,Foggy,B,281
5.0,Tuesday,Yes,Rainy,A,10
6.0,Sunday,Yes,Rainy,A,10
8.0,Monday,No,,C,192
0.0,Sunday,Yes,Clear,C,10
15.0,Friday,No,Foggy,B,272
21.0,Friday,No,,D,174
,Monday,No,Rainy,D,330
21.0,Saturday,,Foggy,C,78
7.0,Thursday,Yes,Snowy,A,10
9.0,Saturday,Yes,Clear,D,91
14.0,Thursday,Yes,Rainy,A,175
,Wednesday,No,Foggy,A,249
17.0,Thursday,No,Clear,D,342
23.0,Thursday,No,Rainy,C,44
2.0,Friday,Yes,Rainy,D,10
0.0,Friday,No,Foggy,B,10
19.0,Monday,No,Foggy,D,183
4.0,Tuesday,Yes,Foggy,A,10
22.0,Saturday,No,Snowy,C,10
22.0,Saturday,Yes,Clear,B,10
23.0,Sunday,Yes,Snowy,D,10
12.0,Friday,No,Rainy,D,304
10.0,Friday,Yes,Foggy,B,112
14.0,Wednesday,Yes,Rainy,A,202
18.0,Sunday,Yes,Snowy,B,28
3.0,Thursday,Yes,Foggy,B,10
12.0,Monday,No,Rainy,D,312
21.0,Sunday,No,Snowy,A,58
3.0,Saturday,,Snowy,A,10
5.0,Saturday,No,Clear,B,115
,Friday,No,Clear,B,353
3.0,Friday,Yes,Foggy,B,10
20.0,Friday,Yes,Clear,C,93
5.0,,No,Foggy,D,11
15.0,Friday,No,Rainy,A,308
6.0,Sunday,Yes,Rainy,C,10
19.0,Friday,No,Rainy,A,182
21.0,Saturday,Yes,Foggy,B,10
18.0,Sunday,Yes,Rainy,D,107
19.0,Wednesday,Yes,Snowy,A,10
10.0,Tuesday,Yes,Clear,B,181
3.0,Monday,No,Snowy,C,10
9.0,Friday,Yes,Snowy,D,10
4.0,Saturday,Yes,Rainy,C,10
23.0,Wednesday,Yes,Snowy,B,10
11.0,Friday,No,Rainy,A,279
13.0,Sunday,Yes,Rainy,B,228
2.0,Friday,Yes,Snowy,B,10
16.0,Saturday,Yes,Rainy,A,174
22.0,Wednesday,Yes,Rainy,B,10
11.0,Friday,Yes,Snowy,A,98
21.0,Friday,Yes,Snowy,,10
20.0,Tuesday,Yes,Snowy,A,10
10.0,,Yes,Clear,D,167
16.0,Tuesday,,Foggy,D,254
11.0,Tuesday,No,Snowy,D,177
11.0,Monday,Yes,Foggy,D,110
10.0,Tuesday,No,Foggy,D,216
21.0,Wednesday,No,Snowy,A,21
4.0,,Yes,Foggy,A,10
9.0,Monday,Yes,Rainy,A,65
22.0,Sunday,No,Clear,B,149
18.0,Tuesday,Yes,Foggy,B,45
19.0,Sunday,No,Rainy,D,188
16.0,Monday,No,Foggy,B,257
1.0,Monday,No,Snowy,A,10
8.0,Wednesday,Yes,Clear,B,79
23.0,Saturday,No,Foggy,D,10
3.0,Saturday,Yes,Rainy,D,10
2.0,Friday,No,Rainy,B,10
6.0,Saturday,No,Snowy,A,10
2.0,Friday,Yes,Foggy,B,10
18.0,Saturday,No,Clear,D,265
12.0,Wednesday,Yes,Rainy,A,149
16.0,Saturday,No,Rainy,C,304
5.0,Friday,Yes,Foggy,C,10
1.0,Tuesday,Yes,Clear,C,10
22.0,Wednesday,No,Foggy,A,19
0.0,Tuesday,No,Clear,A,88
22.0,Saturday,Yes,Rainy,B,10
12.0,Tuesday,No,Snowy,B,208
5.0,Thursday,Yes,Clear,B,11
21.0,Monday,No,Snowy,B,20
0.0,Thursday,Yes,Clear,A,10
20.0,Sunday,Yes,Foggy,A,10
15.0,Thursday,No,Rainy,C,304
,Monday,No,Snowy,,215
13.0,Wednesday,Yes,Snowy,A,100
3.0,Wednesday,No,Clear,B,62
16.0,Tuesday,Yes,Foggy,C,105
3.0,Thursday,No,Clear,B,84
4.0,Thursday,No,Clear,C,68
10.0,Tuesday,No,Snowy,D,177
20.0,Sunday,Yes,Snowy,D,10
7.0,Friday,Yes,Rainy,B,10
0.0,Thursday,Yes,Foggy,B,10
4.0,Friday,No,Rainy,B,39
22.0,Thursday,No,Clear,A,138
19.0,Monday,Yes,,D,145
5.0,Tuesday,No,Foggy,A,18
4.0,Saturday,Yes,Clear,D,10
14.0,Sunday,No,Snowy,C,228
16.0,Tuesday,No,Rainy,A,319
14.0,Saturday,No,Foggy,B,256
3.0,Friday,,Foggy,A,11
,Wednesday,Yes,Clear,A,209
18.0,Sunday,Yes,,C,126
12.0,Wednesday,No,Clear,A,332
,Sunday,Yes,Rainy,A,156
2.0,Tuesday,Yes,Rainy,C,10
4.0,Wednesday,No,Snowy,A,10
18.0,Thursday,Yes,Foggy,A,66
14.0,Wednesday,No,Foggy,B,232
14.0,Thursday,No,Rainy,D,301
9.0,Sunday,Yes,Foggy,D,10
8.0,Saturday,Yes,Rainy,A,10
3.0,Tuesday,Yes,Snowy,C,10
20.0,Sunday,Yes,Clear,D,96
6.0,Monday,No,Snowy,D,14
4.0,Tuesday,No,Snowy,C,10
15.0,Tuesday,No,Rainy,A,304
2.0,Saturday,No,Foggy,A,10
13.0,Sunday,Yes,Snowy,B,82
13.0,Saturday,Yes,Rainy,B,215
23.0,Saturday,Yes,Snowy,D,10
3.0,Saturday,Yes,Rainy,A,10
23.0,Thursday,Yes,Rainy,B,10
18.0,Wednesday,Yes,Foggy,A,79
20.0,Thursday,No,Snowy,C,39
5.0,Wednesday,Yes,Snowy,D,10
22.0,Sunday,Yes,Clear,A,10
13.0,Saturday,Yes,Clear,D,205
14.0,Monday,No,Foggy,D,264
20.0,Saturday,No,Foggy,C,156
13.0,Monday,No,Clear,C,358
16.0,Friday,Yes,Snowy,D,78
20.0,Monday,No,Snowy,B,91
